xNormalized,yNormalized,levelMicron,confidence
-0.703125,0.906250,,
-0.687500,0.906250,,
-0.671875,0.906250,,
-0.656250,0.906250,,
-0.640625,0.906250,,
-0.625000,0.906250,,
-0.609375,0.906250,,
-0.593750,0.906250,,
-0.578125,0.906250,,
-0.562500,0.906250,,
-0.546875,0.906250,,
-0.531250,0.906250,,
-0.515625,0.906250,,
-0.500000,0.906250,,
-0.484375,0.906250,,
-0.468750,0.906250,,
-0.453125,0.906250,0.053690,0.090909
-0.437500,0.906250,0.053690,0.217129
-0.421875,0.906250,0.053690,0.250000
-0.406250,0.906250,0.161080,1.000000
-0.390625,0.906250,0.536940,1.000000
-0.375000,0.906250,0.483250,0.500000
-0.359375,0.906250,0.483250,0.414214
-0.343750,0.906250,0.483250,0.129732
-0.328125,0.906250,,
-0.312500,0.906250,,
-0.296875,0.906250,0.483250,0.182744
-0.281250,0.906250,0.483250,0.200000
-0.265625,0.906250,,
-0.250000,0.906250,,
-0.234375,0.906250,,
-0.218750,0.906250,,
-0.203125,0.906250,,
-0.187500,0.906250,0.429550,0.111111
-0.171875,0.906250,0.429550,0.500000
-0.156250,0.906250,0.429550,0.085983
-0.140625,0.906250,,
-0.125000,0.906250,,
-0.109375,0.906250,,
-0.093750,0.906250,,
-0.078125,0.906250,,
-0.062500,0.906250,,
-0.046875,0.906250,,
-0.031250,0.906250,,
-0.015625,0.906250,,
0.000000,0.906250,,
0.015625,0.906250,,
0.031250,0.906250,,
0.046875,0.906250,,
0.062500,0.906250,,
0.078125,0.906250,,
0.093750,0.906250,,
0.109375,0.906250,,
0.125000,0.906250,,
0.140625,0.906250,,
0.156250,0.906250,,
0.171875,0.906250,,
0.187500,0.906250,,
0.203125,0.906250,0.429550,0.111111
0.218750,0.906250,0.429550,0.500000
0.234375,0.906250,,
0.250000,0.906250,,
0.265625,0.906250,,
0.281250,0.906250,,
0.296875,0.906250,,
0.312500,0.906250,,
0.328125,0.906250,0.483250,0.333333
0.343750,0.906250,0.483250,0.125000
0.359375,0.906250,,
0.375000,0.906250,,
0.390625,0.906250,0.483250,0.156613
0.406250,0.906250,0.483250,0.500000
0.421875,0.906250,0.483250,0.500000
0.437500,0.906250,0.536940,1.000000
0.453125,0.906250,0.053690,1.000000
0.468750,0.906250,0.053690,0.250000
0.484375,0.906250,0.053690,0.166667
0.500000,0.906250,,
0.515625,0.906250,,
0.531250,0.906250,,
0.546875,0.906250,,
0.562500,0.906250,,
0.578125,0.906250,,
0.593750,0.906250,,
0.609375,0.906250,,
0.625000,0.906250,,
0.640625,0.906250,,
0.656250,0.906250,,
0.671875,0.906250,,
0.687500,0.906250,,
0.703125,0.906250,,
0.718750,0.906250,,
0.734375,0.906250,,
0.750000,0.906250,,
0.765625,0.906250,,
0.781250,0.906250,,
0.796875,0.906250,,
0.812500,0.906250,,
0.828125,0.906250,,
0.843750,0.906250,,
0.859375,0.906250,,
0.875000,0.906250,,
0.890625,0.906250,,
0.906250,0.906250,,
0.921875,0.906250,,
0.937500,0.906250,,
0.953125,0.906250,,
0.968750,0.906250,,
0.984375,0.906250,,
1.000000,0.906250,,
-1.000000,0.890625,,
-0.984375,0.890625,,
-0.968750,0.890625,,
-0.953125,0.890625,,
-0.937500,0.890625,,
-0.921875,0.890625,,
-0.906250,0.890625,,
-0.890625,0.890625,,
-0.875000,0.890625,,
-0.859375,0.890625,,
-0.843750,0.890625,,
-0.828125,0.890625,,
-0.812500,0.890625,,
-0.796875,0.890625,,
-0.781250,0.890625,,
-0.765625,0.890625,,
-0.750000,0.890625,,
-0.734375,0.890625,,
-0.718750,0.890625,,
-0.703125,0.890625,,
-0.687500,0.890625,,
-0.671875,0.890625,,
-0.656250,0.890625,,
-0.640625,0.890625,,
-0.625000,0.890625,,
-0.609375,0.890625,,
-0.593750,0.890625,,
-0.578125,0.890625,,
-0.562500,0.890625,,
-0.546875,0.890625,,
-0.531250,0.890625,,
-0.515625,0.890625,,
-0.500000,0.890625,,
-0.484375,0.890625,,
-0.468750,0.890625,0.053690,0.182744
-0.453125,0.890625,0.053690,0.250000
-0.437500,0.890625,0.161080,1.000000
-0.421875,0.890625,0.536940,1.000000
-0.406250,0.890625,0.536940,1.000000
-0.390625,0.890625,0.536940,0.500000
-0.375000,0.890625,0.536940,0.111111
-0.359375,0.890625,,
-0.343750,0.890625,,
-0.328125,0.890625,,
-0.312500,0.890625,,
-0.296875,0.890625,0.483250,0.217129
-0.281250,0.890625,0.483250,0.166667
-0.265625,0.890625,,
-0.250000,0.890625,,
-0.234375,0.890625,,
-0.218750,0.890625,,
-0.203125,0.890625,,
-0.187500,0.890625,0.429550,0.141188
-0.171875,0.890625,0.429550,0.333333
-0.156250,0.890625,,
-0.140625,0.890625,,
-0.125000,0.890625,,
-0.109375,0.890625,,
-0.093750,0.890625,,
